,open,high,low,close,volume
2024-05-31,416.75,416.75,404.51,415.13,47995250.0
2024-05-30,424.3,424.3,414.24,414.67,28424847.0
2024-05-29,425.69,430.94,425.69,429.17,15517130.0
2024-05-28,429.63,430.82,426.6,430.32,15718024.0
2024-05-24,427.19,431.055,424.41,430.16,11855285.0
2024-05-23,432.97,433.6,425.424,427.0,17211689.0
2024-05-22,430.09,432.41,427.13,430.52,18073698.0
2024-05-21,426.825,432.97,424.85,429.04,21453255.0
2024-05-20,420.21,426.77,419.99,425.34,16272137.0
2024-05-17,422.54,422.92,418.025,420.21,15352239.0
2024-05-16,421.8,425.42,420.35,420.99,17530050.0
2024-05-15,417.9,423.81,417.27,423.08,22239533.0
2024-05-14,412.02,417.49,411.55,416.56,15109306.0
2024-05-13,418.01,418.348,410.82,413.72,15440226.0
2024-05-10,412.935,415.38,411.8,414.74,13402281.0
2024-05-09,410.57,412.72,409.1,412.32,14689727.0
2024-05-08,408.17,412.23,406.7132,410.54,11792308.0
2024-05-07,414.66,414.67,409.09,409.34,20018228.0
2024-05-06,408.76,413.93,406.3701,413.54,16996639.0
2024-05-03,402.28,407.15,401.86,406.66,17446724.0
2024-05-02,397.66,399.93,394.6515,397.84,17709364.0
2024-05-01,392.61,401.7199,390.31,394.94,23562481.0
2024-04-30,401.49,402.16,389.17,389.33,28781374.0
2024-04-29,405.25,406.32,399.19,402.25,19582091.0
2024-04-26,412.17,413.0,405.7601,406.32,29694654.0
2024-04-25,394.03,399.8899,388.03,399.04,40586450.0
2024-04-24,409.56,412.47,406.78,409.06,15065330.0
2024-04-23,404.235,408.2,403.06,407.57,15734501.0
2024-04-22,400.08,402.85,395.75,400.96,20286875.0
2024-04-19,404.03,405.48,397.77,399.12,30565789.0
2024-04-18,410.63,411.89,403.95,404.27,21029917.0
2024-04-17,417.25,418.88,410.33,411.84,15855485.0
2024-04-16,414.57,418.4,413.7301,414.58,16765616.0
2024-04-15,426.6,426.82,413.43,413.64,20273538.0
2024-04-12,424.05,425.1794,419.77,421.9,19253750.0
2024-04-11,425.82,429.37,422.36,427.93,17966423.0
2024-04-10,422.19,424.03,419.7,423.26,16216581.0
2024-04-09,426.44,427.74,421.62,426.28,12468710.0
2024-04-08,425.17,427.28,423.3,424.59,14248192.0
2024-04-05,420.01,426.51,418.32,425.52,16526878.0
2024-04-04,424.99,428.67,417.57,417.88,19290884.0
2024-04-03,419.73,423.26,419.085,420.45,16462007.0
2024-04-02,420.11,422.38,417.84,421.44,17861855.0
2024-04-01,423.95,427.89,422.22,424.57,15602611.0
2024-03-28,420.96,421.87,419.12,420.72,21871161.0
2024-03-27,424.44,424.45,419.01,421.43,16704978.0
2024-03-26,425.61,425.99,421.35,421.65,16725647.0
2024-03-25,425.24,427.41,421.61,422.86,18060450.0
2024-03-22,429.7,429.86,426.07,428.74,17648473.0
2024-03-21,429.83,430.82,427.16,429.37,21296222.0
2024-03-20,422.0,425.96,420.66,425.23,17860085.0
2024-03-19,417.83,421.6656,415.55,421.41,19837915.0
2024-03-18,414.25,420.73,413.78,417.32,20105977.0
2024-03-15,419.29,422.6,412.79,416.42,45079903.0
2024-03-14,420.24,427.82,417.99,425.22,33955263.0
2024-03-13,418.1,418.18,411.45,415.1,16990048.0
2024-03-12,407.62,415.57,406.79,415.28,21563656.0
2024-03-11,403.76,405.68,401.26,404.52,15998511.0
2024-03-08,407.96,410.42,404.33,406.22,18002186.0
2024-03-07,406.12,409.78,402.24,409.14,18718479.0
2024-03-06,402.97,405.16,398.39,402.09,22344149.0
2024-03-05,413.96,414.25,400.64,402.65,26919177.0
2024-03-04,413.44,417.35,412.32,414.92,17595956.0
2024-03-01,411.27,415.87,410.88,415.5,17823445.0
2024-02-29,408.64,414.2,405.92,413.64,31947263.0
2024-02-28,408.175,409.3,405.3201,407.72,13183125.0
2024-02-27,407.99,408.32,403.85,407.48,14835827.0
2024-02-26,411.455,412.16,407.36,407.54,16193505.0
2024-02-23,415.67,415.86,408.97,410.34,16295879.0
2024-02-22,410.19,412.83,408.57,411.65,27009869.0
2024-02-21,400.17,402.29,397.22,402.18,18631072.0
2024-02-20,403.24,404.49,398.01,402.79,24307915.0
2024-02-16,407.96,408.29,403.44,404.06,22296495.0
2024-02-15,408.14,409.13,404.29,406.56,21825525.0
2024-02-14,408.07,409.84,404.57,409.49,20401190.0
2024-02-13,404.94,410.071,403.39,406.32,27824936.0
2024-02-12,420.555,420.74,414.75,415.26,21202921.0
2024-02-09,415.25,420.82,415.09,420.55,22032844.0
2024-02-08,414.05,415.56,412.53,414.11,21225257.0
2024-02-07,407.44,414.3,407.4,414.05,22340526.0
2024-02-06,405.88,407.97,402.91,405.49,18382624.0
2024-02-05,409.9,411.16,403.99,405.65,25352286.0
2024-02-02,403.81,412.65,403.56,411.22,28256670.0
2024-02-01,401.83,408.0,401.8,403.78,30657726.0
2024-01-31,406.96,415.32,397.21,397.58,47871097.0
2024-01-30,412.26,413.05,406.4501,408.59,33477610.0
2024-01-29,406.06,409.98,404.33,409.72,24510236.0
2024-01-26,404.37,406.17,402.43,403.93,17803271.0
2024-01-25,404.32,407.01,402.5294,404.87,21021155.0
2024-01-24,401.54,405.63,400.45,402.56,23281889.0
2024-01-23,395.75,399.38,393.93,398.9,20525882.0
2024-01-22,400.02,400.62,393.59,396.51,27016902.0
2024-01-19,395.76,398.67,393.5,398.67,29331136.0
2024-01-18,391.72,393.99,390.12,393.87,23392068.0
2024-01-17,387.98,390.11,384.81,389.47,22234108.0
2024-01-16,393.66,394.03,387.6229,390.27,27202268.0
2024-01-12,385.49,388.68,384.65,388.47,21661153.0
2024-01-11,386.0,390.68,380.38,384.63,27850846.0
2024-01-10,376.37,384.17,376.32,382.77,25514245.0
2024-01-09,372.01,375.99,371.19,375.79,20829953.0
